sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,website_checked
government,Ngaanyatjarra Lands School,Ngaanyatjarra-Giles,0872,,,https://www.nglandschool.wa.edu.au/,http://www.nglandschool.wa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-25.28353,127.54272,false
government,Darkan Primary School,Darkan,6392,,,https://www.darkanps.wa.edu.au/,https://www.darkanps.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.33590866,116.7331568,false
government,Sir David Brand School,Coolbinia,6050,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=6020,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.91237449645996,115.85969543457033,false
independent,Divine Mercy College,Yangebup,6164,,,http://www.ais.wa.edu.au/search/pages,http://www.ais.wa.edu.au/search-school/?&mode=details&id=158,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.123981,115.82463,true
government,Sevenoaks Senior College,Cannington,6107,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4165,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.01209,115.94261,false
government,North Lake Senior Campus,Kardinya,6163,,info@northlake.wa.edu.au,https://www.northlake.wa.edu.au/contact/,http://www.northlake.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.07413,115.81394,true
government,Cyril Jackson Senior Campus,Bassendean,6054,,school@cyriljackson.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4015,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.91352,115.9427,true
government,Canning College,Bentley,6102,,canning.col.info@education.wa.edu.au,https://canningcollege.wa.edu.au,https://www.canningcollege.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.01042787,115.8970779,true
government,Western Australian College Of Agriculture - Narrogin,Narrogin,6312,,,,http://narroginag.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.973475,117.117756,true
government,Western Australian College Of Agriculture - Denmark,Denmark,6333,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4202,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-34.95405,117.37456,false
government,Western Australian College Of Agriculture - Cunderdin,Cunderdin,6407,,,,https://cunderdinag.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.62698,117.23179,true
independent,Wongutha Christian Aboriginal Parent-Directed School,Gibson,6448,,,,https://www.wonguthacaps.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.65843924,121.8733677,true
